SID,Age,Sex,Language,Experimenter,Location,Entered_By,Exclude_analysis,Exclude_analysis_reason,Exclude_task,Excluded_task,Exclude_task_reason,Task,Trial_number,Task_item,Response_single,Response_double,Response_final,Correct,Mem_check_1_single,Mem_check_1_double,Mem_check_1_final,Mem_check_2_single,Mem_check_2_double,Mem_check_2_final,Notes_single_coding,Notes_double,Exclude_trial,Exclude_trial_single_reason,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,GiveN,1,6,NA,9,9,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,GiveN,2,9,NA,6,6,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,GiveN,3,7,NA,5,5,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,GiveN,4,5,NA,4,4,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,Training,1,2,2,2,1,0,0,0,0,0,0,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,1,5,6,6,6,1,1,1,1,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,2,7,9,9,9,0,0,0,0,1,1,1,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,3,16,18,18,18,0,1,1,1,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,4,24,26,26,26,0,0,0,0,0,0,0,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,5,52,53,53,53,1,0,0,0,0,0,0,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,6,71,73,73,73,0,0,0,0,0,0,0,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,7,105,106,106,106,1,0,0,0,1,1,1,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,8,107,108,108,108,1,0,1,0,1,1,1,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,9,116,117,117,117,1,1,1,1,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,10,224,226,226,226,0,0,0,0,0,0,0,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,11,252,253,253,253,1,0,0,0,0,0,0,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,SF,12,271,273,273,273,0,0,0,0,0,0,0,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,Training,1,2,2,2,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,1,5,"4, 3",3,3,0,,,,,,,Next number reminder,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,2,7,8,8,8,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,3,16,19,19,19,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,4,24,19,19,19,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,5,52,52,52,52,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,6,71,71,71,71,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,7,105,105,105,105,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,8,107,105,105,105,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,9,116,116,116,116,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,10,224,124,124,124,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,11,252,252,252,252,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,NN,12,271,272,272,272,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,Training,Apple,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,1,Sun,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,2,Book,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,3,Cake,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,4,Leaf,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,5,Balloon,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,6,Leaf,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,Sample Item B,SockFlower,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,7,PresentTire,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,8,KiteHydrant,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,9,DuckClover,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,10,TireHydrant,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,11,CloverKite,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,12,PresentDucck,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,13,BellRainbowChair,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,14,BlockHatDrum,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,15,MugHourglassBlock,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,16,HatChairRainbow,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,17,HourglassMugBell,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,18,DrumRainbowHourglass,0,0,0,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,19,BellBlockHat,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,20,ChairDrumMug,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,21,RainbowMugHat,0,0,0,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,22,HourglassBellChair,0,0,0,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,23,PlanetShoeClockStar,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,24,HourglassKiteBlockHeart,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,25,StarBookHourglassShoe,1,1,1,1,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,26,KiteTirePlanetBlock,0,0,0,0,,,,,,,,can't say number,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,27,BookHeartTireClock,0,0,0,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,28,BlockPlanetKiteHourglass,0,0,0,0,,,,,,,,,0,,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,29,SunDrumRainbowHydrantClock,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,30,BalloonCloverBookPlanetMug,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,31,BookClockBalloonSunPlanet,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,32,DrumMugHydrantCloverRainbow,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,33,LeafTireHatClockShoeDuck,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,34,StarBellRainbowChairCakePresent,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-A,4.810403833,F,Slovenian,Vesna,,JA,0,,,,,WPPSI,35,RainbowPresentCakeHatShoeBellLeaf,NA,NA,NA,NA,,,,,,,,,1,no data,,
10072018-D,4.969199179,M,Slovenian,Vesna,Ulpava,JA,0,,,,,GiveN,1,6,NA,6,6,1,,,,,,,,,0,,,
10072018-D,4.969199179,M,Slovenian,Vesna,Ulpava,JA,0,,,,,GiveN,2,9,NA,9,9,1,,,,,,,,,0,,,
