SID,Language,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_final,FHC_single,FHC_final,Special_count,Experimenter_missed,Notes,Coder,Exclude,Exclude-reason,Validated,PB on 11.13.18
AM-1,English (India),NA,NA,NA,NA,NA,NA,NA,NA,,,,RMS,1,child did not understand English,RMS,
AM-10,English (India),10,IDK,11,12,10,10,14,14,0,0,,SH,0,,RMS,
AM-10,English (India),14,"""fishteen""(15 & 16 blend) ",15,17,10,10,14,14,0,0,,SH,0,,RMS,
AM-11,English (India),4,8,5,6,4,4,9,9,0,0,,SH,0,,RMS,
AM-11,English (India),7,IDK,8,9,4,4,9,9,0,0,,SH,0,,RMS,
AM-11,English (India),9,7,10,IDK,4,4,9,9,0,0,,SH,0,,RMS,
AM-12,English (India),10,11,12,13 mumbled,10,10,13,13,0,0,,SH,1,comprehension failure,RMS,
AM-12,English (India),13,IDK,14,Nothing,10,10,13,13,0,0,,SH,1,comprehension failure,RMS,
AM-13,English (India),10,IDK,11,IDK,10,10,10,10,0,0,,SH,0,,RMS,
AM-13-RS,English (India),11,13,12,13,11,11,14,14,,,,RMS,0,,RMS,
AM-13-RS,English (India),14,"""five-teen""",15,13,11,11,14,14,,,,RMS,0,,RMS,
AM-14,English (India),10,IDK,11,12,10,10,12,12,0,0,,SH,0,,RMS,
AM-14,English (India),12,IDK,13,IDK,10,10,12,12,0,0,,SH,0,,RMS,
AM-15,English (India),10,12,11,13,10,10,10,10,,0,"experimenter continued to prompt, but child made this error twice. ",RMS,0,,RMS,
AM-16,English (India),39,IDK,40,41,39,39,109,109,,0,,RMS,0,,RMS,
AM-16,English (India),49,IDK,50,51,39,39,109,109,,0,,RMS,0,,RMS,
AM-16,English (India),109,IDK,110,101,39,39,109,109,,0,,RMS,0,,RMS,
AM-16,English (India),111,IDK,112,NA,39,39,109,109,,0,,RMS,1,"Experimenter continued to prompt, should not have because child made error immediately after error",RMS,
AM-17,English (India),10,9,11,12,10,10,29,29,,0,,RMS,0,,RMS,
AM-17,English (India),29,20-12 (?),30,13,10,10,29,29,,1,,RMS,0,,RMS,
AM-17,English (India),30,13,31,32,10,10,29,29,,0,,RMS,1,Experimenter continued to prompt when child made an error immediately after a prompt,RMS,
AM-17,English (India),39,30-30,40,50,10,10,29,29,,0,,RMS,1,Experimenter continued to prompt when child made an error immediately after a prompt,RMS,
AM-17,English (India),40,50,41,42,10,10,29,29,,0,,RMS,1,Experimenter continued to prompt when child made an error immediately after a prompt,RMS,
AM-17,English (India),49,40-11,50,70,10,10,29,29,,0,,RMS,1,Experimenter continued to prompt when child made an error immediately after a prompt,RMS,
AM-17,English (India),50,70,51,NA,10,10,29,29,,0,,RMS,1,Experimenter continued to prompt when child made an error immediately after a prompt,RMS,
AM-18,English (India),15,18,16,17,15,15,29,29,,0,,RMS,0,,RMS,
AM-18,English (India),19,21,20,21,15,15,29,29,,0,,RMS,0,,RMS,
AM-18,English (India),29,20-10,30,IDK,15,15,29,29,,0,,RMS,0,,RMS,
AM-18,English (India),30,IDK,31,32,15,15,29,29,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-18,English (India),33,35,34,6 (?),15,15,29,29,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-19,English (India),NA,NA,NA,NA,NA,NA,NA,NA,,0,,RMS,1,Child would not count,RMS,
AM-2,English (India),18,90,NA,NA,18,18,99,99,0,1,,SH,0,,RMS,
AM-2,English (India),20,90,NA,NA,18,18,99,99,0,1,,SH,0,,RMS,
AM-2,English (India),30,40,31,32,18,18,99,99,0,0,,SH,0,,RMS,
