SID,Age,Sex,Language,Experimenter,Entered_By,Exclude_analysis,Exclude_analysis_reason,Exclude_task,Excluded_task,Exclude_task_reason,Task,Trial_number,Task_item,Response_single,Response_double,Response_final,Correct_final,Mem_check_1_single,Mem_check_1_double,Mem_check_1_final,Mem_check_2_single,Mem_check_2_double,Mem_check_2_final,Notes_single,Notes_double,Unit_task_repeat_alts,Exclude_trial_single,Exclude_trial_double,Exclude_trial_final,Exclude_trial_reason
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,GiveN,1,6,NA,6,6,1,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,GiveN,2,9,NA,9,9,1,,,,,,,,,NA,0,,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,GiveN,3,7,NA,7,7,1,,,,,,,,,NA,0,,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,GiveN,4,5,NA,5,5,1,,,,,,,,"Misorder read (6,5,7,9) on accident",NA,0,,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,Training,1,2,2,2,1,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,1,5,7,7,7,0,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,2,7,8,8,8,1,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,3,16,18,18,18,0,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,4,24,25,25,25,1,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,5,52,53,53,53,1,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,6,71,73,73,73,0,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,7,105,106,106,106,1,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,8,107,109,109,109,0,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,9,116,117,117,117,1,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,10,224,225,225,225,1,0,0,0,1,1,1,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,11,252,253,253,253,1,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,SF,12,271,273,273,273,0,1,1,1,,,,,,,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,Training,1,2,2,2,1,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,1,5,7,7,7,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,2,7,2,2,2,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,3,16,6,6,6,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,4,24,10,10,10,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,5,52,2,2,2,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,6,71,3,3,3,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,7,105,6,6,6,0,,,,,,,,,NA,0,0,0,
