SID,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_double,FHC_single,FHC_double,Special_count,Note,hundred-syntax,Exclude,Exclude_reason,Validated,raw-count
070218-CW-01,10,IDK,11,12,10,10,29,29,,,,0,,RMS,
070218-CW-01,29,20,30,IDK,10,10,29,29,,,,0,,RMS,
070218-CW-02,29,90,30,"30,31",29,29,33,33,,,,0,,RMS,
070218-CW-02,31,34,32,32,29,29,33,33,,,,0,,RMS,
070218-CW-02,33,IDK,34,"34,IDK",29,29,33,33,,,,0,,RMS,
070218-CW-03,100,IDK,101,102,100,100,108,108,,,,0,,RMS,
070218-CW-03,108,1000,109,1000,100,100,108,108,,,,0,,RMS,
070218-CW-04,2,IDK,IDK,,2,2,2,2,,exclude/NON-CP,,1,more than 20% of data missing,RMS,
070218-CW-05,49,94,50,"50,51",49,49,107,107,,,,0,,RMS,
070218-CW-05,59,46,60,"60,61",49,49,107,107,,,,0,,RMS,
070218-CW-05,69,30,70,"70,71",49,49,107,107,,,,0,,RMS,
070218-CW-05,79,27,80,"80,81",49,49,107,107,,,,0,,RMS,
070218-CW-05,89,30,90,"90,91",49,49,107,107,,,,0,,RMS,
070218-CW-05,99,28,100,"100,101",49,49,107,107,,,dropped 0 for 101 (1 bak 1),0,,RMS,
070218-CW-05,107,107,108,"108,IDK",49,49,107,107,,,,0,,RMS,
070218-CW-06,47,49,48,49,47,47,49,49,,,,0,,RMS,
070218-CW-06,49,60,50,"IDK,60,70",47,47,49,49,,,,0,,RMS,
070218-CW-07,69,IDK,70,"70,71",69,69,82,82,,,,0,,RMS,
070218-CW-07,79,IDK,80,"80,81",69,69,82,82,,,,0,,RMS,
070218-CW-07,82,87,83,40,69,69,82,82,,,,0,,RMS,
070218-CW-08,49,15,50,51,49,49,66,66,,,,0,,RMS,
070218-CW-08,66,9,67,65,49,49,66,66,,,,0,,RMS,
070218-CW-09,39,6,40,41,39,39,89,89,,,,0,,RMS,
070218-CW-09,49,7,50,51,39,39,89,89,,,,0,,RMS,
070218-CW-09,59,8,60,61,39,39,89,89,,,,0,,RMS,
070218-CW-09,69,IDK,70,71,39,39,89,89,,,,0,,RMS,
070218-CW-09,79,IDK,80,81,39,39,89,89,,,,0,,RMS,
070218-CW-09,89,IDK,90,95,39,39,89,89,,,,0,,RMS,
070218-CW-10,19,30,20,31,19,19,19,19,,NON-CP,,0,,RMS,
070218-CW-11,21,24,22,"21,24",21,21,21,21,,said IDK when I asked him what's after 22/NON-CP,,0,,RMS,
070218-CW-12,28,IDK,29,IDK,28,28,28,28,,NON-CP,,0,,RMS,
070218-CW-14,23,25,24,IDK,23,23,23,23,,NON-CP,,0,,RMS,
070218-CW-17,59,50,60,68,59,59,59,59,,,,0,,RMS,
070218-CW-18,30,21,31,32,30,30,59,59,,,,0,,RMS,
070218-CW-18,39,IDK,49,41,30,30,59,59,,,,0,,RMS,
070218-CW-18,50,IDK,51,"51,52",30,30,59,59,,,,0,,RMS,
070218-CW-18,59,IDK,60,IDK,30,30,59,59,,,,0,,RMS,
070218-CW-21,39,90,40,41,39,39,48,48,,,,0,,RMS,
070218-CW-21,48,46,49,0,39,39,48,48,,,,0,,RMS,
070218-CW-22,30,IDK,31,32,30,30,147,147,,,,0,,RMS,
070218-CW-22,50,IDK,51,52,30,30,147,147,,,,0,,RMS,
070218-CW-22,59,IDK,60,"60,61",30,30,147,147,,,,0,,RMS,
070218-CW-22,99,IDK,100,"100,101",30,30,147,147,,,101 correct,0,,RMS,
070218-CW-22,109,IDK,110,"110,111",30,30,147,147,,,,0,,RMS,
070218-CW-22,119,IDK,120,"120,121",30,30,147,147,,,,0,,RMS,
070218-CW-22,129,IDK,130,"130,131",30,30,147,147,,,,0,,RMS,
070218-CW-22,139,IDK,140,"140,141",30,30,147,147,,,,0,,RMS,
070218-CW-23,109,IDK,110,IDK,109,109,109,109,,,101 correct,0,,RMS,
070318-CW-13,20,30,21,30,20,20,20,20,,,,0,,RMS,
070318-CW-15,49,30,50,IDK,49,49,49,49,,,,0,,RMS,
070318-CW-16,12,16,13,IDK,12,12,12,12,,"note says ""weird pronounciations"" - unclear whether kid should be excluded for this?",,0,,RMS,
070318-CW-19,109,200,110,"110,111",109,109,117,117,,,101 correct,0,,RMS,
070318-CW-19,117,200,118,129,109,109,117,117,,,,0,,RMS,
070318-CW-24,109,20001,110,111,109,109,117,117,,,101 correct,0,,RMS,
070318-CW-24,117,IDK,118,111,109,109,117,117,,,,0,,RMS,
070318-CW-25,28,30,29,7,28,28,28,28,,,,0,,RMS,
070318-CW-26,28,"40, 30",29,31,28,28,28,28,,,,0,,RMS,
070318-CW-27,100,IDK,101,102,100,100,149,149,,,,0,,RMS,
070318-CW-27,109,IDK,110,111,109,100,149,149,,,101 provided by E,0,,RMS,
070318-CW-27,119,IDK,120,121,109,100,149,149,,,,0,,RMS,
070318-CW-27,129,IDK,130,131,109,100,149,149,,,,0,,RMS,
070318-CW-28,109,IDK,110,"120,130",109,109,109,109,,,101 correct,0,,RMS,
070318-CW-29,19,IDK,20,21,19,19,58,58,,,,0,,RMS,
070318-CW-29,39,50,40,41,19,19,58,58,,,,0,,RMS,
070318-CW-29,58,IDK,59,IDK,19,19,58,58,,,,0,,RMS,
070318-CW-30,100,IDK,101,102,100,100,109,109,,,101 provided by E,0,,RMS,
070318-CW-30,109,IDK,110,112,100,100,109,109,,,,0,,RMS,
070318-CW-31,109,IDK,110,"120,130",109,109,109,109,,,101 correct,0,,RMS,
070318-CW-32,109,10...10,110,111,109,109,149,149,,,,0,,RMS,
070318-CW-32,136,101,137,138,109,109,149,149,,,"101 correct; added 0 for 110 (110=1 bak 0 ten), 120 (1 bak 0 2 ten) etc",0,,RMS,
070318-CW-33,75,IDK,76,77,75,75,119,119,,,101 and 110 correct,0,,RMS,
070318-CW-33,79,IDK,80,81,75,75,119,119,,,,0,,RMS,
070318-CW-33,119,IDK,120,IDK,75,75,119,119,,,,0,,RMS,
070318-CW-34,100,IDK,101,102,100,100,119,119,,,101 provided by E; 110 correct,0,,RMS,
070318-CW-34,119,IDK,120,IDK,100,100,119,119,,,,0,,RMS,
070318-CW-35,60,"70, 71",61,62,60,60,109,109,,,dropped 0 for 101 (1 bak 1),0,,RMS,
070318-CW-35,109,"300,200",110,IDK,60,60,109,109,,,,0,,RMS,
070318-CW-36,110,IDK,111,112,110,110,119,119,,,101 correct; added 0 for 110 (1 bak 0 ten),0,,RMS,
070318-CW-36,119,IDK,120,IDK,110,110,119,119,,,,0,,RMS,
070318-CW-37,152,NA,NA,NA,152,152,152,152,,,"101 correct, 110 correct, but for 111 dropped one (1 bak 11, should be 1 bak 1 ten 1 rather than 1 bak ten 1)",0,,RMS,
070318-CW-38,36,35,37,38,36,36,99,99,,,,0,,RMS,
070318-CW-38,39,50,40,41,36,36,99,99,,,,0,,RMS,
070318-CW-38,59,IDK,60,61,36,36,99,99,,,,0,,RMS,
070318-CW-38,69,IDK,70,71,36,36,99,99,,,,0,,RMS,
070318-CW-38,89,19,90,91,36,36,99,99,,,,0,,RMS,
070318-CW-38,99,IDK,100,IDK,59,36,99,99,,,,0,,RMS,
070318-CW-39,100,IDK,101,102,100,100,109,109,,,101 provided by E,0,,RMS,
070318-CW-39,109,200,110,IDK,100,100,109,109,,,,0,,RMS,
070318-CW-43,100,IDK,101,102,100,100,109,109,,,101 provided by E; added 0 for 110 (1 bak 0 ten),0,,RMS,
070318-CW-43,109,IDK,110,IDK,100,100,109,109,,,,0,,RMS,
070918-LF-01,109,IDK,110,111,109,109,140,140,,,dropped 0 for 101 (1 bak 1),0,,RMS,
070918-LF-01,119,IDK,120,121,109,109,140,140,,,,0,,RMS,
