SID,Age,Sex,Language,Experimenter,Double_coded_by,Exclude_analysis,Exclude_analysis_reason,Exclude_task,Excluded_task,Exclude_task_reason,Task,Trial_number,Task_item,Response_single,Response_double,Response,Correct,Mem_check_1_single,Mem_check_1_double,Mem_check_1,Mem_check_2_single,Mem_check_2_double,Mem_check_2,Exclude_trial_single,Exclude_trial_double,Exclude_trial_reason_single,Exclude_trial_reason_double,Exclude_trial,Exclude_trial_reason,Unit_task_repeat_alts,Notes_single,Notes_double
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,GiveN,Excluded from analysis,GiveN,1,6,10,10,10,0,,,,,,,,,,,0,,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,GiveN,Excluded from analysis,GiveN,2,9,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,GiveN,Excluded from analysis,GiveN,3,7,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,GiveN,Excluded from analysis,GiveN,4,5,10,6,6,0,,,,,,,,,,,0,,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,Training,1,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,1,5,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,2,7,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,3,16,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,4,24,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,5,52,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,6,71,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,7,105,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,8,107,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,9,116,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,10,224,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,11,252,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,SF,Excluded from analysis,SF,12,271,NA,NA,NA,NA,,,,,,,,,,,1,no data,,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,Training,1,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,1,5,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,2,7,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,3,16,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,4,24,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,5,52,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,6,71,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,7,105,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,8,107,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,9,116,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,10,224,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,11,252,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,NN,Excluded from analysis,NN,12,271,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,WPPSI,Excluded from analysis,WPPSI,Sample Item A,Apple,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,WPPSI,Excluded from analysis,WPPSI,1,Sun,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,WPPSI,Excluded from analysis,WPPSI,2,Book,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,WPPSI,Excluded from analysis,WPPSI,3,Cake,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,WPPSI,Excluded from analysis,WPPSI,4,Leaf,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,WPPSI,Excluded from analysis,WPPSI,5,Balloon,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,WPPSI,Excluded from analysis,WPPSI,6,Leaf,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,WPPSI,Excluded from analysis,WPPSI,Sample Item B,SockFlower,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,WPPSI,Excluded from analysis,WPPSI,7,PresentTire,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
AM-1,3.96714579,M,English (India),RMS,RMS,1,Comprehension failure,1,WPPSI,Excluded from analysis,WPPSI,8,KiteHydrant,NA,NA,NA,NA,,,,,,,,,,,1,no data,NA,DNF (did not understand Eng/teacher interference),
